Category,Subcategory,Food_Number,Food_Item,Country,Year,GI_SEM,GL,Subjects,Avail_Carb_g,Test_Portion_g,Ref_Food_Time,Timepoints,Sample_Collection,Analysis_Method,Ref,GI_Value,GI_SEM_Value
BAKERY PRODUCTS,Cakes,13.0,"Sponge cake, soft wheat flour, carrots (14%), almonds (7%) (Camille, Mulino Bianco, Barilla, Italy)",Italy,2007,51±3,15.0,"Normal, 10",50.0,70.0,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,3,51.0,3.0
BAKERY PRODUCTS,Cakes,14.0,"Sponge cake, soft wheat flour, filled with chocolate cream (Kinder Pan e Cioc Cacao, Kinder, Ferrero, Italy)",Italy,2014,61±3,18.0,"Normal, 10",25.0,56.0,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,3,61.0,3.0
BAKERY PRODUCTS,Cakes,15.0,"Sponge cake, soft wheat flour, ground cereals (rice, barley, rye, oat, wheat) and cocoa, filled with barley malt cream (Kinder colazione più, Kinder, Ferrero, Italy)",Italy,2014,66±8,20.0,"Normal, 10",25.0,57.0,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,3,66.0,8.0
BAKERY PRODUCTS,Cakes,16.0,"Sponge cake, soft wheat flour, orange cream-filled, coated with chocolate (Fiesta, Ferrero, Italy)",Italy,2012,60±6,18.0,"Normal, 10",25.0,48.0,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,3,60.0,6.0
BAKERY PRODUCTS,Cakes,17.0,"Sponge cake, soft wheat flour, with almond and chocolate pieces (Brioche Cereali e Cioccolato, Grancereale, Barilla, Italy)",Italy,2012,66±3,20.0,"Normal, 10",50.0,107.0,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,3,66.0,3.0
BAKERY PRODUCTS,Cakes,18.0,"Sponge cake, wheat flour, rolled barley and oat (2.5%), filled with apricot jam (Brioss Albicocca ecereali, Ferrero Italy)6",Italy,2012,60±7,18.0,"Normal, 10",50.0,80.0,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,4,60.0,7.0
BAKERY PRODUCTS,Cakes,19.0,"Vanilla cake, made from packet mix with vanilla frosting (Betty Crocker, General Mills Inc., Minneapolis, USA)",USA,2000,42±4,13.0,"Normal, 10",50.0,96.8,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,42.0,4.0
BAKERY PRODUCTS,"Cakes, gluten-free",20.0,"Cake, prepared with yoghurt, gluten-free (Plum cake, Dr Shaer AG/SPA, Italy)8",Italy,2015*,42±6,13.0,"Normal, 10",50.0,102.0,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,5,42.0,6.0
BAKERY PRODUCTS,"Cakes, gluten-free",21.0,"Cake, prepared with brown rice, corn, millet and buckwheat, gluten-free (Gallette Chicchi al vento, Grancereale, Barilla, Italy)",Italy,2015*,67±6,20.0,"Normal, 10",50.0,62.0,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,5,67.0,6.0
BAKERY PRODUCTS,Croissant,22.0,"Croissant, all butter (Coles Supermarkets Pty Ltd, Australia)",Australia,2013,45±6,14.0,"Normal, 10",50.0,123.2,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,45.0,6.0
BAKERY PRODUCTS,Croissant,23.0,Croissant,Oman,2020*,67±2,20.0,"Normal, 12",50.0,,"Glucose, 2h",Standard,"Capillary, whole blood",Glucometer9,6,67.0,2.0
BAKERY PRODUCTS,Croissant,,"Croissant, mean of two foods",,,56,,,,,,,,,,56.0,
BAKERY PRODUCTS,Desserts,24.0,"Apple Berry crumble, President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",Canada,2007,41±3,12.0,"Normal, 10",50.0,242.6,"Bread, 2h",Standard,"Capillary, whole blood",YSI,UO7,41.0,3.0
BAKERY PRODUCTS,Desserts,25.0,"Bavarian (mousse filling on biscuit base), Chocolate honeycomb, light (Sara Lee Bakery, Australia)",Australia,2006-,31±5,9.0,"Normal, 9",50.0,184.5,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,UO10,31.0,5.0
BAKERY PRODUCTS,Desserts,26.0,"Danish Pastry, Apple & Peach, light (Sara Lee Bakery, Australia)",Australia,2006-,50±4,15.0,"Normal, 10",50.0,114.4,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,UO10,50.0,4.0
BAKERY PRODUCTS,Desserts,27.0,"Fruit mince pies, shortcrust pastry case filled with dried fruit",Australia,2009,58±6,17.0,"Normal, 11",50.0,80.9,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,58.0,6.0
BAKERY PRODUCTS,Desserts,28.0,"Pavlova, meringue base topped with whipped cream, fresh strawberries, banana and passionfruit pulp",Australia,2010,49±5,15.0,"Normal, 9",50.0,193.3,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,49.0,5.0
BAKERY PRODUCTS,"Gingerbread, cake-style",29.0,Gingerbread11,France,2019*,81±5,24.0,"Normal, 15",50.0,68.2,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,7,81.0,5.0
BAKERY PRODUCTS,"Gingerbread, cake-style",30.0,Gingerbread11,France,2019*,88±5,26.0,"Normal, 15",50.0,68.2,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,7,88.0,5.0
BAKERY PRODUCTS,"Gingerbread, cake-style",31.0,Gingerbread11,France,2019*,89±8,27.0,"Normal, 13",50.0,68.2,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,7,89.0,8.0
BAKERY PRODUCTS,"Gingerbread, cake-style",,"Gingerbread, mean of three studies",,,86,,,,,,,,,,86.0,
BAKERY PRODUCTS,Muffins,32.0,"Apple Blueberry muffin (Sara Lee Bakery, Australia)",Australia,2006-,49±4,15.0,"Normal, 9",50.0,119.0,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,UO10,49.0,4.0
BAKERY PRODUCTS,Muffins,33.0,"Apple, oat, sultana muffin",Australia,2000,54±4,16.0,"Normal, 9",50.0,92.6,"Bread, 2h",Standard,"Capillary, whole blood",HemoCue,UO5,54.0,4.0
BAKERY PRODUCTS,Muffins,34.0,"Apricot, coconut and honey muffin",Australia,2000,60±4,18.0,"Normal, 9",50.0,102.4,"Bread, 2h",Standard,"Capillary, whole blood",HemoCue,UO5,60.0,4.0
BAKERY PRODUCTS,Muffins,35.0,"Banana, oat and honey muffin",Australia,2000,65±11,20.0,"Normal, 10",50.0,98.3,"Bread, 2h",Standard,"Capillary, whole blood",HemoCue,UO5,65.0,11.0
BAKERY PRODUCTS,Muffins,36.0,"Blueberry muffin (Sara Lee Bakery, Australia)",Australia,2006-,50±3,15.0,"Normal, 10",50.0,96.9,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,UO10,50.0,3.0
BAKERY PRODUCTS,Muffins,37.0,"Blueberry (Wild) 10-Grain muffin, President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",Canada,2007,57±7,17.0,"Normal, 10",50.0,89.7,"Bread, 2h",Standard,"Capillary, whole blood",YSI,UO7,57.0,7.0
BAKERY PRODUCTS,Muffins,38.0,Chocolate butterscotch muffin,Australia,2001,53±5,16.0,"Normal, 10",50.0,89.2,"Bread, 2h",Standard,"Capillary, whole blood",HemoCue,UO5,53.0,5.0
BAKERY PRODUCTS,Muffins,39.0,"Chocolate chip muffin (Sara Lee Bakery, Australia)",Australia,2006-,52±6,16.0,"Normal, 11",50.0,94.0,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,UO10,52.0,6.0
BAKERY PRODUCTS,Muffins,40.0,"Cranberry & Orange Soy muffin, President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",Canada,2007,48±6,14.0,"Normal, 10",50.0,120.7,"Bread, 2h",Standard,"Capillary, whole blood",YSI,UO7,48.0,6.0
BAKERY PRODUCTS,Muffins,41.0,Cranberry Raisin muffin,Australia,2013,43±3,13.0,"Normal, 10",50.0,140.4,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,43.0,3.0
BAKERY PRODUCTS,Muffins,42.0,"Double chocolate muffin (Sara Lee Bakery, Australia)",Australia,2006-,46±4,14.0,"Normal, 10",50.0,89.0,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,UO10,46.0,4.0
BAKERY PRODUCTS,Muffins,43.0,"Raisin Bran Flax muffin, President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",Canada,2007,52±3,16.0,"Normal, 10",50.0,106.1,"Bread, 2h",Standard,"Capillary, whole blood",YSI,UO7,52.0,3.0
BAKERY PRODUCTS,Muffins,44.0,"Raspberry Pomegranate muffin, President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",Canada,2007,58±7,17.0,"Normal, 10",50.0,106.1,"Bread, 2h",Standard,"Capillary, whole blood",YSI,UO7,58.0,7.0
BAKERY PRODUCTS,Muffins,,"Muffins, mean of 13 foods",,,53,,,,,,,,,,53.0,
BAKERY PRODUCTS,"Muffin, plain, made with different flours",45.0,"Muffin, made with 14% soft wheat flour, 7% lentil flour, 5% resistant starch and 3% dextrins",Spain,2009,39±6,12.0,"Normal, 10",50.0,133.0,"Glucose, 2h",Standard,"Venous, whole blood12",Enzymatic,8,39.0,6.0
BAKERY PRODUCTS,"Muffin, plain, made with different flours",46.0,Muffin made with oat flour,Singapore,2015*,54±5,16.0,"Normal, 12",50.0,146.8,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,9,54.0,5.0
BAKERY PRODUCTS,"Muffin, plain, made with different flours",47.0,Muffin made with barley flour,Singapore,2015*,55±5,17.0,"Normal, 12",50.0,139.7,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,9,55.0,5.0
BAKERY PRODUCTS,"Muffin, plain, made with different flours",48.0,Muffin made with corn flour,Singapore,2015*,74±5,22.0,"Normal, 12",50.0,136.9,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,9,74.0,5.0
BAKERY PRODUCTS,"Muffin, plain, made with different flours",49.0,Muffin made with wheat flour,Singapore,2015*,74±8,22.0,"Normal, 12",50.0,126.1,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,9,74.0,8.0
BAKERY PRODUCTS,"Muffin, plain, made with different flours",50.0,Muffin made with rice flour,Singapore,2015*,79±6,24.0,"Normal, 12",50.0,119.4,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,9,79.0,6.0
BAKERY PRODUCTS,Pancakes,51.0,"Pancakes, prepared with wheat flour and coconut flour",Philippines,2002,46±2,14.0,"Normal, 10",50.0,,"Bread, 2h",Standard,"Capillary, serum",Enzymatic,2,46.0,2.0
BAKERY PRODUCTS,Pancakes,52.0,"Pancakes, prepared from wheat flour and water (Coles Smart Buy Plain Flour, Coles Supermarkets Pty Ltd) (78.9 g flour + 108.8 mL water)",Australia,2009,61±7,18.0,"Normal, 10",50.0,78.9,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,10,61.0,7.0
BAKERY PRODUCTS,Pancakes,53.0,"Pancakes, prepared from shake mix (Green's General Foods, Glendenning, Australia)",Australia,2000,67±5,20.0,"Normal, 10",50.0,69.7,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,67.0,5.0
BAKERY PRODUCTS,Pancakes,54.0,"Pancakes, millet (100% foxtail millet flour)",China,2016*,76±11,23.0,"Normal, 10",50.0,121.0,"Glucose, 2h",Standard,"Venous, plasma/serum",Enzymatic,11,76.0,11.0
BAKERY PRODUCTS,Pancakes,55.0,"Pancakes, prepared from wheat flour",China,2005,80±4,24.0,"Normal, 10",50.0,,"Glucose, 2h",Standard,"Venous, NS",NS,12,80.0,4.0
BAKERY PRODUCTS,Pancakes,56.0,"Pancakes, millet (75% foxtail millet flour, 25% extrusion flour (w/w, dry basis)",China,2016*,83±10,25.0,"Normal, 10",50.0,141.0,"Glucose, 2h",Standard,"Venous, plasma/serum",Enzymatic,11,83.0,10.0
BAKERY PRODUCTS,"Pancakes, gluten-free",57.0,"Pancakes, buckwheat, gluten-free, made from packet mix (Orgran Natural Foods, Carrum Downs, Australia)",Australia,2000,102±11,31.0,"Normal, 10",50.0,69.4,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,102.0,11.0
BAKERY PRODUCTS,"Pancakes, gluten-free",58.0,"Pancakes, gluten-free, made from packet mix (Freedom Foods, Cheltenham, Australia)",Australia,2006-,61±6,18.0,"Normal, 10",50.0,187.3,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,UO10,61.0,6.0
BAKERY PRODUCTS,Other bakery products,59.0,"Brownies, containing wheat flour and coconut flour",Philippines,2002,43±4,13.0,"Normal, 10",50.0,,"Bread, 2h",Standard,"Capillary, serum",Enzymatic,2,43.0,4.0
BAKERY PRODUCTS,Other bakery products,60.0,"Cinnamon bread, prepared with wheat flour and coconut flour",Philippines,2002,45±3,14.0,"Normal, 10",50.0,,"Bread, 2h",Standard,"Capillary, serum",Enzymatic,2,45.0,3.0
BAKERY PRODUCTS,Other bakery products,61.0,Doughnut,Oman,2020*,75±3,23.0,"Normal, 12",50.0,,"Glucose, 2h",Standard,"Capillary, whole blood",Glucometer9,6,75.0,3.0
BAKERY PRODUCTS,Other bakery products,62.0,"Hot cross buns, spiced sweet bun with dried fruit (Tip Top Bakeries, Chatswood, Australia)",Australia,2012,59±7,18.0,"Normal, 10",50.0,89.8,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,59.0,7.0
BAKERY PRODUCTS,Other bakery products,63.0,"Hot cross buns, spiced sweet bun with dried fruit",Australia,2012,66±6,20.0,"Normal, 9",50.0,112.8,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,66.0,6.0
BAKERY PRODUCTS,Other bakery products,64.0,"Pan de sal (sweet bread roll), containing wheat flour and coconut flour",Philippines,2002,62±4,19.0,"Normal, 10",50.0,,"Bread, 2h",Standard,"Capillary, serum",Enzymatic,2,62.0,4.0
BAKERY PRODUCTS,Other bakery products,65.0,"Pastry, puff (Pampas™, Australia)",Australia,2006,56±5,17.0,"Normal, 10",50.0,127.2,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,56.0,5.0
BAKERY PRODUCTS,Other bakery products,66.0,"Pastry, puff, with wheat flour and sugar (Nastrine, Italy)6",Italy,2005,47±6,14.0,"Normal, 9",50.0,102.0,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,3,47.0,6.0
BAKERY PRODUCTS,Other bakery products,67.0,"Pikelets, Golden brand (Tip Top Bakeries, Chatswood, Australia)",Australia,2000,85±14,26.0,"Normal, 10",50.0,144.5,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,85.0,14.0
BAKERY PRODUCTS,Other bakery products,68.0,"Pizza base, baked in oven at 220oC for 9 min (Boboli, Orograin Bakeries Manufacturing Inc, PA, USA)",USA,2015,52±4,16.0,"Normal, 10",50.0,104.2,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,52.0,4.0
BAKERY PRODUCTS,Other bakery products,69.0,"Scones, plain, made from packet mix (Defiance Milling Co, Australia)",Australia,2000,92±8,28.0,"Normal, 10",50.0,105.3,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,92.0,8.0
BAKERY PRODUCTS,Other bakery products,70.0,"Sweet bread, with chocolate chips (Pangoccioli, Italy)6",Italy,2009,50±5,15.0,"Normal, 10",50.0,81.4,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,3,50.0,5.0
BAKERY PRODUCTS,Other bakery products,71.0,"Tarte, made with wheat flour and apricot jam (Crostatina all'albicocca, Italy)6",Italy,2005,44±4,13.0,"Normal, 9",50.0,77.5,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,3,44.0,4.0
BEVERAGES,Beer,72.0,"Beer (4.5% alcohol by volume) (Nikolai Lager, Sinebrychoff Ltd, Finland)",Finland,2012*,119±10,12.0,"Normal, 10",25.0,510.0,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,13,119.0,10.0
BEVERAGES,Beer,73.0,"Beer (4.4% alcohol by volume), Pilsner Urquell® (Plzeňský Prazdroj, A.S., Czech Republic)11",Czech,2016*,89±2,9.0,"Normal, 10",25.0,554.3,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,14,89.0,2.0
BEVERAGES,Beer,,"Beer, mean of two foods",,,104,,,,,,,,,,104.0,
BEVERAGES,Beer,74.0,"Beer, non-alcoholic (0.0% alcohol by volume) (Nikolai Lager, Sinebrychoff Ltd, Finland)",Finland,2012*,80±6,8.0,"Normal, 10",25.0,640.0,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,13,80.0,6.0
BEVERAGES,Carbonated beverages/soft drinks,75.0,"Coca Cola®, soft drink (Coca Cola Amatil, Sydney, Australia)",Australia,2006,53±7,13.0,"Normal, 10",50.0,480.8,"Bread, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,53.0,7.0
BEVERAGES,Carbonated beverages/soft drinks,76.0,"Coca Cola®, soft drink",Italy,2011,73±7,18.0,"Normal, 9",50.0,472.0,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,3,73.0,7.0
BEVERAGES,Carbonated beverages/soft drinks,,"Coca Cola®, mean of two studies",,,63,,,,,,,,,,63.0,
BEVERAGES,Carbonated beverages/soft drinks,77.0,"Cola, Pepsi®, sucrose-sweetened (Pepsi, Hartwall Ltd, Finland)",Finland,2011,72±7,18.0,"Normal, 12",50.0,450.0,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,15,72.0,7.0
BEVERAGES,Carbonated beverages/soft drinks,78.0,"Ginger beer, carbonated beverage (Bundaberg Brewed Drinks Pty Ltd, Australia)",Australia,2017,65±5,16.0,"Normal, 10",25.0,231.5,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,65.0,5.0
BEVERAGES,Carbonated beverages/soft drinks,79.0,"Lemon flavored soft drink, Lemonade, Schweppes® (Cadbury Schweppes, Sydney, Australia)",Australia,2006,54±5,14.0,"Normal, 10",50.0,454.5,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,54.0,5.0
BEVERAGES,Carbonated beverages/soft drinks,80.0,"Lemon flavored soft drink, Solo™, lemon squash (Cadbury Schweppes, Australia)",Australia,2001,58±5,15.0,"Normal, 10",25.0,190.8,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,UO5,58.0,5.0
BEVERAGES,Carbonated beverages/soft drinks,81.0,"Lemon flavored soft drink SpriteTM (The Coca-Cola Company, Australia)",Australia,2011,64±3,16.0,"Normal, 10",50.0,495.0,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,16,64.0,3.0
BEVERAGES,Carbonated beverages/soft drinks,,"Lemon flavored soft drinks, mean of three foods",,,59,,,,,,,,,,59.0,
BEVERAGES,Fruit drinks,82.0,"Blackcurrant fruit syrup, Ribena™ reconstituted with 315.5 mL water (GlaxoSmithKline Group, Australia)",Australia,2006,52±5,13.0,"Normal, 10",50.0,63.1,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,UO5,52.0,5.0
BEVERAGES,Fruit drinks,83.0,"Fruit drink, decreased GI variant (containing 8% isomaltose)",Belgium,2010*,48±8,12.0,"Normal, 10",25.0,306.0,"Glucose, 2h",Standard,"Venous, plasma/serum",Enzymatic,1,48.0,8.0
BEVERAGES,Fruit drinks,84.0,"Fruit drink, increased GI variant (containing 8% sucrose)",Belgium,2010*,86±14,22.0,"Normal, 10",25.0,306.0,"Glucose, 2h",Standard,"Venous, plasma/serum",Enzymatic,1,86.0,14.0
BEVERAGES,Fruit drinks,85.0,Fruit flavored beverage,Australia,2014*,67±5,17.0,Normal 10,50.0,769.0,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,17,67.0,5.0
BEVERAGES,Fruit drinks,86.0,Fruit flavored beverage with 0.22 g Filtered Molasses Concentrate added per 100 mL (3.6 g FMC/100 g carbohydrate),Australia,2014*,58±3,15.0,Normal 10,50.0,820.0,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,17,58.0,3.0
BEVERAGES,Fruit drinks,87.0,"Ice Green Tea, ready-to-drink brewed green tea (Pokka Corporation (S) Private Ltd, Singapore)",Singapore,2015*,50±5,13.0,"Normal, 13",50.0,833.3,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,18,50.0,5.0
BEVERAGES,Fruit drinks,88.0,"Iced Green Tea, 7% lemon juice (Estathè verde, Ferrero, Italy)",Italy,2011,66±5,17.0,"Normal, 9",50.0,575.0,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,3,66.0,5.0
BEVERAGES,Fruit drinks,89.0,"Ice Lemon Tea, ready-to-drink black tea with lemon flavor (F&N Foods Private Ltd, Singapore)",Singapore,2015*,74±7,19.0,"Normal, 14",50.0,500.0,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,18,74.0,7.0
BEVERAGES,Fruit drinks,90.0,"Iced lemon tea, decaffeinated, lemon juice powder 0.2% (7% fructose) (Estathè deteinato limone, Ferrero, Italy)",Italy,2011,38±3,10.0,"Normal, 9",50.0,575.0,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,3,38.0,3.0
BEVERAGES,Fruit drinks,91.0,"Iced lemon tea, lemon juice powder 0.2%, (Estathè limone, Ferrero, Italy)",Italy,2011,72±6,18.0,"Normal, 9",50.0,442.0,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,3,72.0,6.0
BEVERAGES,Fruit drinks,92.0,"Iced peach tea, 9.5% peach juice (Estathè pesca, Ferrero, Italy)",Italy,2011,71±7,18.0,"Normal, 9",50.0,455.0,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,3,71.0,7.0
BEVERAGES,Fruit drinks,93.0,"Orange Delight Cocktail with pulp, President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",Canada,2007,44±5,11.0,"Normal, 10",50.0,781.3,"Bread, 2h",Standard,"Capillary, whole blood",YSI,UO7,44.0,5.0
BEVERAGES,Fruit drinks,94.0,"Tropical blend fruit drink, V8 Splash® (Campbell's Soup Company, USA)",USA,2002,47±4,12.0,"Normal, 10",50.0,455.4,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,UO5,47.0,4.0
BEVERAGES,Milk drinks,95.0,"Choc Banana flavored drink, Aussie Bodies Start the Day UHT (Aussie Bodies Pty Ltd, Australia)",Australia,2006-,24±3,6.0,"Normal, 10",50.0,847.5,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,UO10,24.0,3.0
BEVERAGES,Milk drinks,96.0,"Chocolate flavored drink, Aussie Bodies Start the Day UHT (Aussie Bodies Pty Ltd, Australia)",Australia,2006-,26±4,7.0,"Normal, 11",50.0,847.5,"Glucose, 2h",Standard,"Capillary, whole blood",HemoCue,UO10,26.0,4.0
BEVERAGES,Milk drinks,97.0,"Hot Chocolate mix made with hot water, Complete (Nestlé, Australia)",Australia,2001,51±3,13.0,"Normal, 10",50.0,69.4,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,51.0,3.0
BEVERAGES,Milk drinks,98.0,"Chocolate Liquid Breakfast, Devondale Fast Start (Murray Goulburn Co-Operative Company Limited, Australia)",Australia,2012,39±4,10.0,"Normal, 9",50.0,468.7,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,39.0,4.0
BEVERAGES,Milk drinks,99.0,"Coffee Liquid Breakfast, Devondale Fast Start (Murray Goulburn Co-Operative Company Limited, Australia)",Australia,2012,39±4,10.0,"Normal, 9",50.0,449.2,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,39.0,4.0
BEVERAGES,Milk drinks,100.0,Kellogg’s® Coco Pops Chocolatey Liquid Breakfast (Kellogg’s Australia),Australia,2012,35±4,9.0,"Normal, 10",50.0,519.6,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,35.0,4.0
BEVERAGES,Milk drinks,101.0,Kellogg‘s® Nutri-Grain Breakfast Fuel (Kellogg’s Australia),Australia,2012,38±3,10.0,"Normal, 10",50.0,514.6,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,38.0,3.0
BEVERAGES,Milk drinks,102.0,"Milo™ (Nestlé, Australia) dissolved in water",Australia,1999,55±3,14.0,"Normal, 10",50.0,73.0,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,55.0,3.0
